Product,Sub_product,Issue,Sub_issue,State,ZIP_code,Date_received,Date_sent_to_company,Company,Company_response,Days_to_response,Issue_len,Sub_issue_words,Company_grouped,Days_to_response_bin
4,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,14,30058.0,2015-03-18,2015-03-18,1164,1,0,35,6,Otras,0-1 días
4,Desconocido,Improper contact or sharing of info,Contacted me after I asked not to,19,60411.0,2015-03-18,2015-03-18,920,1,0,35,7,Otras,0-1 días
4,Payday loan,Communication tactics,Threatened to take legal action,7,92592.0,2015-03-18,2015-03-19,15,1,1,21,5,Otras,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,57,53183.0,2015-03-17,2015-03-17,81,4,0,35,1,81,0-1 días
0,Checking account,"Account opening, closing, or management",Desconocido,19,60628.0,2015-03-17,2015-03-18,729,1,1,39,1,729,0-1 días
3,Desconocido,Incorrect information on credit report,Account terms,28,48091.0,2015-03-17,2015-03-17,1398,1,0,38,2,1398,0-1 días
4,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,13,33990.0,2015-03-17,2015-03-17,505,4,0,37,5,Otras,0-1 días
0,Checking account,"Account opening, closing, or management",Desconocido,13,32713.0,2015-03-17,2015-03-18,1498,1,1,39,1,1498,0-1 días
6,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",Desconocido,7,95032.0,2015-03-17,2015-03-17,198,4,0,40,1,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt is not mine,9,6611.0,2015-03-17,2015-03-17,246,1,0,37,4,Otras,0-1 días
4,Medical,False statements or representation,Attempted to collect wrong amount,43,97233.0,2015-03-17,2015-03-17,260,4,0,34,5,Otras,0-1 días
4,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,14,30518.0,2015-03-17,2015-03-17,72,1,0,31,7,Otras,0-1 días
6,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Desconocido,7,91205.0,2015-03-17,2015-03-18,198,4,1,40,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,53,22180.0,2015-03-17,2015-03-18,438,1,1,34,5,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,56,98502.0,2015-03-17,2015-03-18,1398,1,1,38,2,1398,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,56,98502.0,2015-03-17,2015-03-18,1398,1,1,38,2,1398,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,44,19149.0,2015-03-17,2015-03-18,81,4,1,35,1,81,0-1 días
4,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,50,38305.0,2015-03-17,2015-03-18,526,1,1,36,7,Otras,0-1 días
5,Domestic (US) money transfer,Other transaction issues,Desconocido,2,35115.0,2015-03-17,2015-03-17,903,4,0,24,1,Otras,0-1 días
3,Desconocido,Credit reporting company's investigation,Investigation took too long,28,48334.0,2015-03-17,2015-03-17,473,1,0,40,4,Otras,0-1 días
6,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Desconocido,57,53579.0,2015-03-17,2015-03-18,177,1,1,40,1,Otras,0-1 días
2,Desconocido,Delinquent account,Desconocido,44,19406.0,2015-03-17,2015-03-17,113,1,0,18,1,113,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,19,61554.0,2015-03-17,2015-03-17,967,4,0,35,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,25,21704.0,2015-03-17,2015-03-18,409,1,1,37,4,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,13,33063.0,2015-03-17,2015-03-17,1307,1,0,37,4,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,17,51526.0,2015-03-17,2015-03-17,1335,1,0,37,4,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,7,94610.0,2015-03-17,2015-03-17,981,0,0,37,4,Otras,0-1 días
2,Desconocido,Other,Desconocido,28,48088.0,2015-03-17,2015-03-17,113,1,0,5,1,113,0-1 días
4,Desconocido,Disclosure verification of debt,Not given enough info to verify debt,13,33462.0,2015-03-17,2015-03-17,312,1,0,31,7,312,0-1 días
2,Desconocido,Late fee,Desconocido,14,30075.0,2015-03-17,2015-03-17,1498,2,0,8,1,1498,0-1 días
1,Vehicle loan,Taking out the loan or lease,Desconocido,22,42223.0,2015-03-17,2015-03-17,967,4,0,28,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Personal information,28,48473.0,2015-03-17,2015-03-17,1398,3,0,38,2,1398,0-1 días
1,Vehicle loan,Taking out the loan or lease,Desconocido,40,11415.0,2015-03-17,2015-03-17,81,4,0,28,1,81,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt is not mine,13,34473.0,2015-03-17,2015-03-17,1401,4,0,37,4,1401,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,57,53105.0,2015-03-17,2015-03-17,81,4,0,35,1,81,0-1 días
0,Checking account,"Account opening, closing, or management",Desconocido,7,90801.0,2015-03-17,2015-03-18,729,1,1,39,1,729,0-1 días
4,Desconocido,Communication tactics,Called outside of 8am-9pm,23,70774.0,2015-03-17,2015-03-17,1144,4,0,21,4,Otras,0-1 días
4,Desconocido,Improper contact or sharing of info,Contacted me after I asked not to,33,27205.0,2015-03-17,2015-03-17,994,1,0,35,7,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,19,61032.0,2015-03-17,2015-03-17,127,0,0,37,5,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Public record,8,80540.0,2015-03-17,2015-03-17,547,1,0,38,2,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,42,73072.0,2015-03-17,2015-03-17,586,1,0,37,4,Otras,0-1 días
4,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,24,2038.0,2015-03-17,2015-03-17,145,4,0,31,7,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was paid,19,62704.0,2015-03-17,2015-03-17,894,0,0,37,3,Otras,0-1 días
4,Medical,Improper contact or sharing of info,Talked to a third party about my debt,50,37074.0,2015-03-17,2015-03-17,1401,4,0,35,8,1401,0-1 días
6,FHA mortgage,Credit decision / Underwriting,Desconocido,35,68135.0,2015-03-17,2015-03-17,813,1,0,30,1,Otras,0-1 días
1,Personal line of credit,Managing the line of credit,Desconocido,17,50317.0,2015-03-17,2015-03-18,1498,1,1,27,1,1498,0-1 días
8,Desconocido,Can't stop charges to bank account,Desconocido,21,66606.0,2015-03-17,2015-03-17,1291,1,0,34,1,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,30,63040.0,2015-03-17,2015-03-17,1294,4,0,37,4,Otras,0-1 días
8,Desconocido,Charged fees or interest I didn't expect,Desconocido,51,76205.0,2015-03-16,2015-03-16,15,4,0,40,1,Otras,0-1 días
8,Desconocido,Can't contact lender,Desconocido,43,97070.0,2015-03-16,2015-03-16,291,1,0,20,1,Otras,0-1 días
0,(CD) Certificate of deposit,"Account opening, closing, or management",Desconocido,36,3753.0,2015-03-16,2015-03-18,1498,1,2,39,1,1498,2-5 días
3,Desconocido,Improper use of my credit report,Report improperly shared by CRC,41,44121.0,2015-03-16,2015-03-16,1398,1,0,32,5,1398,0-1 días
6,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Desconocido,8,80516.0,2015-03-16,2015-03-17,190,4,1,40,1,190,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,25,21085.0,2015-03-16,2015-03-17,1069,4,1,37,4,Otras,0-1 días
4,Medical,Communication tactics,Threatened to take legal action,56,98311.0,2015-03-16,2015-03-17,1017,1,1,21,5,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,7,91355.0,2015-03-16,2015-03-17,52,1,1,37,4,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Public record,7,90280.0,2015-03-16,2015-03-17,1398,1,1,38,2,1398,0-1 días
4,Desconocido,Communication tactics,Threatened to take legal action,20,46307.0,2015-03-16,2015-03-17,729,1,1,21,5,729,0-1 días
0,Checking account,Using a debit or ATM card,Desconocido,7,92844.0,2015-03-16,2015-03-16,967,4,0,25,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,33,28365.0,2015-03-16,2015-03-16,453,1,0,37,4,Otras,0-1 días
6,FHA mortgage,"Loan modification,collection,foreclosure",Desconocido,41,43204.0,2015-03-16,2015-03-16,190,4,0,40,1,190,0-1 días
2,Desconocido,Delinquent account,Desconocido,7,90201.0,2015-03-16,2015-03-16,565,1,0,18,1,Otras,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,13,33179.0,2015-03-16,2015-03-16,983,4,0,35,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Account terms,34,58104.0,2015-03-16,2015-03-16,1398,1,0,38,2,1398,0-1 días
6,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Desconocido,7,95132.0,2015-03-16,2015-03-16,1247,1,0,40,1,1247,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,13,33179.0,2015-03-16,2015-03-16,865,1,0,35,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,14,30093.0,2015-03-16,2015-03-16,1055,1,0,37,3,Otras,0-1 días
1,Vehicle lease,Problems when you are unable to pay,Desconocido,13,33154.0,2015-03-16,2015-03-16,81,4,0,35,1,81,0-1 días
3,Desconocido,Incorrect information on credit report,Personal information,28,48237.0,2015-03-16,2015-03-16,1398,3,0,38,2,1398,0-1 días
4,Medical,Improper contact or sharing of info,Talked to a third party about my debt,56,98115.0,2015-03-16,2015-03-16,1166,1,0,35,8,Otras,0-1 días
2,Desconocido,Billing statement,Desconocido,7,94709.0,2015-03-16,2015-03-16,1498,1,0,17,1,1498,0-1 días
0,Checking account,Problems caused by my funds being low,Desconocido,44,19064.0,2015-03-16,2015-03-18,1229,4,2,37,1,Otras,2-5 días
2,Desconocido,Other,Desconocido,41,43702.0,2015-03-16,2015-03-16,1498,1,0,5,1,1498,0-1 días
6,FHA mortgage,"Loan modification,collection,foreclosure",Desconocido,37,8059.0,2015-03-16,2015-03-16,1229,4,0,40,1,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was paid,44,18102.0,2015-03-16,2015-03-16,1088,3,0,37,3,Otras,0-1 días
6,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Desconocido,10,20008.0,2015-03-16,2015-03-16,1076,4,0,40,1,Otras,0-1 días
1,Vehicle loan,Managing the loan or lease,Desconocido,33,27707.0,2015-03-16,2015-03-16,174,1,0,26,1,Otras,0-1 días
1,Vehicle lease,Managing the loan or lease,Desconocido,36,3290.0,2015-03-16,2015-03-16,983,4,0,26,1,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,13,32086.0,2015-03-16,2015-03-16,1401,1,0,37,4,1401,0-1 días
4,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,39,89148.0,2015-03-16,2015-03-16,571,1,0,21,5,Otras,0-1 días
4,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,51,77062.0,2015-03-16,2015-03-16,304,3,0,35,6,Otras,0-1 días
4,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,2,36054.0,2015-03-16,2015-03-16,489,3,0,31,6,489,0-1 días
10,Non-federal student loan,Can't repay my loan,Desconocido,28,49504.0,2015-03-16,2015-03-16,729,1,0,19,1,729,0-1 días
1,Vehicle loan,Taking out the loan or lease,Desconocido,33,27519.0,2015-03-16,2015-03-16,1396,1,0,28,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,7,95757.0,2015-03-16,2015-03-16,97,1,0,37,4,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,42,73189.0,2015-03-16,2015-03-16,1398,1,0,38,2,1398,0-1 días
1,Vehicle loan,Problems when you are unable to pay,Desconocido,22,41048.0,2015-03-16,2015-03-16,81,4,0,35,1,81,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,13,32789.0,2015-03-16,2015-03-17,1358,1,1,37,5,Otras,0-1 días
6,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Desconocido,22,40047.0,2015-03-16,2015-03-16,312,2,0,40,1,312,0-1 días
6,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Desconocido,25,20602.0,2015-03-16,2015-03-16,198,4,0,40,1,Otras,0-1 días
4,Mortgage,Improper contact or sharing of info,Contacted me after I asked not to,7,93065.0,2015-03-16,2015-03-16,724,1,0,35,7,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Account terms,14,30338.0,2015-03-16,2015-03-16,1398,1,0,38,2,1398,0-1 días
0,Checking account,"Making/receiving payments, sending money",Desconocido,25,20901.0,2015-03-16,2015-03-16,729,1,0,40,1,729,0-1 días
8,Desconocido,Charged bank acct wrong day or amt,Desconocido,37,8021.0,2015-03-16,2015-03-16,15,4,0,34,1,Otras,0-1 días
6,Conventional fixed mortgage,Credit decision / Underwriting,Desconocido,56,99403.0,2015-03-16,2015-03-16,122,4,0,30,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,13,33063.0,2015-03-16,2015-03-16,1398,1,0,38,4,1398,0-1 días
1,Vehicle lease,Managing the loan or lease,Desconocido,40,11725.0,2015-03-16,2015-03-16,983,4,0,26,1,Otras,0-1 días
1,Installment loan,Managing the loan or lease,Desconocido,57,54403.0,2015-03-16,2015-03-17,291,1,1,26,1,Otras,0-1 días
6,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Desconocido,51,77502.0,2015-03-16,2015-03-16,955,1,0,40,1,955,0-1 días
8,Desconocido,Received a loan I didn't apply for,Desconocido,30,63012.0,2015-03-16,2015-03-16,1291,0,0,34,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,40,13440.0,2015-03-16,2015-03-17,864,1,1,37,4,Otras,0-1 días
1,Vehicle loan,Managing the loan or lease,Desconocido,51,77373.0,2015-03-16,2015-03-16,81,4,0,26,1,81,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,51,75169.0,2015-03-16,2015-03-16,1004,3,0,38,2,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,19,60620.0,2015-03-16,2015-03-16,375,0,0,37,4,Otras,0-1 días
6,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",Desconocido,7,95376.0,2015-03-16,2015-03-16,996,1,0,40,1,996,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,28,48188.0,2015-03-16,2015-03-16,1401,4,0,37,4,1401,0-1 días
3,Desconocido,Credit reporting company's investigation,Problem with statement of dispute,51,77362.0,2015-03-16,2015-03-16,1398,1,0,40,5,1398,0-1 días
0,Savings account,"Account opening, closing, or management",Desconocido,33,28208.0,2015-03-16,2015-03-16,518,4,0,39,1,Otras,0-1 días
10,Non-federal student loan,Can't repay my loan,Desconocido,51,78251.0,2015-03-16,2015-03-16,1498,1,0,19,1,1498,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,44,17202.0,2015-03-16,2015-03-16,377,1,0,37,3,377,0-1 días
5,Domestic (US) money transfer,Other service issues,Desconocido,50,38141.0,2015-03-16,2015-03-16,903,4,0,20,1,Otras,0-1 días
0,Savings account,"Account opening, closing, or management",Desconocido,40,12015.0,2015-03-16,2015-03-17,568,4,1,39,1,Otras,0-1 días
4,Desconocido,Disclosure verification of debt,Right to dispute notice not received,26,4605.0,2015-03-16,2015-03-16,1288,4,0,31,6,Otras,0-1 días
5,International money transfer,Money was not available when promised,Desconocido,50,37087.0,2015-03-16,2015-03-17,1526,1,1,37,1,Otras,0-1 días
0,Checking account,Deposits and withdrawals,Desconocido,7,95624.0,2015-03-16,2015-03-16,1498,1,0,24,1,1498,0-1 días
8,Desconocido,Charged fees or interest I didn't expect,Desconocido,30,64052.0,2015-03-16,2015-03-16,1291,1,0,40,1,Otras,0-1 días
0,Checking account,Deposits and withdrawals,Desconocido,51,75006.0,2015-03-16,2015-03-17,729,1,1,24,1,729,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,20,47872.0,2015-03-16,2015-03-17,1398,3,1,38,4,1398,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,9,6478.0,2015-03-16,2015-03-17,246,1,1,37,4,Otras,0-1 días
4,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,51,78501.0,2015-03-16,2015-03-17,147,1,1,37,4,Otras,0-1 días
6,FHA mortgage,"Loan modification,collection,foreclosure",Desconocido,37,8016.0,2015-03-16,2015-03-17,159,1,1,40,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,44,18840.0,2015-03-15,2015-03-17,1401,4,2,35,6,1401,2-5 días
3,Desconocido,Incorrect information on credit report,Public record,50,37160.0,2015-03-15,2015-03-15,518,1,0,38,2,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,44,19124.0,2015-03-15,2015-03-15,494,1,0,38,4,494,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,9,6513.0,2015-03-15,2015-03-15,489,3,0,37,3,489,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,7,90249.0,2015-03-15,2015-03-15,489,3,0,37,4,489,0-1 días
3,Desconocido,Incorrect information on credit report,Account terms,14,31313.0,2015-03-15,2015-03-15,1398,1,0,38,2,1398,0-1 días
4,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,37,7018.0,2015-03-15,2015-03-15,1401,4,0,36,7,1401,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,14,30333.0,2015-03-15,2015-03-15,489,3,0,37,4,489,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,40,13044.0,2015-03-15,2015-03-15,494,1,0,38,2,494,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,8,80016.0,2015-03-15,2015-03-15,1398,1,0,38,4,1398,0-1 días
6,Home equity loan or line of credit,"Loan modification,collection,foreclosure",Desconocido,42,74112.0,2015-03-15,2015-03-15,644,1,0,40,1,644,0-1 días
3,Desconocido,Unable to get credit report/credit score,Problem getting my free annual report,13,34481.0,2015-03-15,2015-03-15,494,1,0,40,6,494,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was paid,51,75010.0,2015-03-15,2015-03-15,1336,1,0,37,3,Otras,0-1 días
0,Other bank product/service,"Making/receiving payments, sending money",Desconocido,37,8322.0,2015-03-15,2015-03-15,1498,1,0,40,1,1498,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,38,87108.0,2015-03-15,2015-03-15,1401,4,0,37,4,1401,0-1 días
4,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,44,18840.0,2015-03-15,2015-03-15,128,1,0,35,6,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was paid,40,11365.0,2015-03-15,2015-03-15,994,1,0,37,3,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Public record,33,27705.0,2015-03-15,2015-03-15,494,1,0,38,2,494,0-1 días
1,Installment loan,Shopping for a loan or lease,Desconocido,13,33971.0,2015-03-15,2015-03-17,1498,1,2,28,1,1498,2-5 días
4,Desconocido,Disclosure verification of debt,Not given enough info to verify debt,41,45895.0,2015-03-15,2015-03-15,423,0,0,31,7,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt is not mine,51,75054.0,2015-03-15,2015-03-15,1080,1,0,37,4,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,9,6902.0,2015-03-15,2015-03-15,1398,3,0,38,4,1398,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,40,14034.0,2015-03-15,2015-03-15,494,1,0,38,4,494,0-1 días
2,Desconocido,Delinquent account,Desconocido,44,19124.0,2015-03-15,2015-03-16,450,1,1,18,1,450,0-1 días
4,Credit card,Cont'd attempts collect debt not owed,Debt was paid,14,30040.0,2015-03-15,2015-03-15,115,1,0,37,3,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,7,92078.0,2015-03-15,2015-03-15,489,3,0,37,3,489,0-1 días
4,Medical,Disclosure verification of debt,Not given enough info to verify debt,51,75211.0,2015-03-15,2015-03-16,1080,1,1,31,7,Otras,0-1 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,48,29016.0,2015-03-15,2015-03-16,446,1,1,37,4,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt was paid,13,33137.0,2015-03-14,2015-03-14,1401,1,0,37,3,1401,0-1 días
5,Domestic (US) money transfer,Fraud or scam,Desconocido,33,27349.0,2015-03-14,2015-03-14,903,4,0,13,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Personal information,24,2563.0,2015-03-14,2015-03-14,1398,3,0,38,2,1398,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,19,60649.0,2015-03-14,2015-03-14,129,1,0,37,4,Otras,0-1 días
0,(CD) Certificate of deposit,"Account opening, closing, or management",Desconocido,6,85387.0,2015-03-14,2015-03-16,81,4,2,39,1,81,2-5 días
4,Desconocido,Cont'd attempts collect debt not owed,Debt is not mine,13,34653.0,2015-03-14,2015-03-14,943,1,0,37,4,Otras,0-1 días
3,Desconocido,Unable to get credit report/credit score,Problem getting report or credit score,40,11204.0,2015-03-14,2015-03-14,494,1,0,40,6,494,0-1 días
3,Desconocido,Incorrect information on credit report,Reinserted previously deleted info,13,32835.0,2015-03-14,2015-03-14,494,1,0,38,4,494,0-1 días
6,Home equity loan or line of credit,"Loan servicing, payments, escrow account",Desconocido,26,4042.0,2015-03-14,2015-03-14,644,1,0,40,1,644,0-1 días
3,Desconocido,Incorrect information on credit report,Account status,40,10940.0,2015-03-14,2015-03-14,494,4,0,38,2,494,0-1 días
3,Desconocido,Credit reporting company's investigation,Problem with statement of dispute,40,14905.0,2015-03-14,2015-03-14,494,4,0,40,5,494,0-1 días
8,Desconocido,Payment to acct not credited,Desconocido,51,77065.0,2015-03-14,2015-03-14,1291,1,0,28,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Personal information,30,65066.0,2015-03-14,2015-03-14,494,1,0,38,2,494,0-1 días
3,Desconocido,Unable to get credit report/credit score,Problem getting report or credit score,51,79109.0,2015-03-14,2015-03-14,494,1,0,40,6,494,0-1 días
8,Desconocido,Charged fees or interest I didn't expect,Desconocido,43,97801.0,2015-03-14,2015-03-14,1153,1,0,40,1,Otras,0-1 días
3,Desconocido,Incorrect information on credit report,Public record,41,44001.0,2015-03-14,2015-03-14,494,4,0,38,2,494,0-1 días
6,FHA mortgage,"Loan servicing, payments, escrow account",Desconocido,44,19543.0,2015-03-14,2015-03-14,1498,1,0,40,1,1498,0-1 días
1,Vehicle loan,Managing the loan or lease,Desconocido,40,14215.0,2015-03-14,2015-03-14,81,4,0,26,1,81,0-1 días
4,Mortgage,Communication tactics,Frequent or repeated calls,33,28358.0,2015-03-14,2015-03-14,955,1,0,21,4,955,0-1 días
3,Desconocido,Unable to get credit report/credit score,Problem getting my free annual report,7,91506.0,2015-03-14,2015-03-14,494,3,0,40,6,494,0-1 días
3,Desconocido,Incorrect information on credit report,Information is not mine,41,43512.0,2015-03-14,2015-03-14,494,3,0,38,4,494,0-1 días
3,Desconocido,Incorrect information on credit report,Account terms,57,53051.0,2015-03-14,2015-03-14,1398,1,0,38,2,1398,0-1 días
4,Auto,Improper contact or sharing of info,Talked to a third party about my debt,13,32583.0,2015-03-14,2015-03-14,982,1,0,35,8,Otras,0-1 días
1,Vehicle loan,Managing the loan or lease,Desconocido,13,33813.0,2015-03-14,2015-03-14,1396,1,0,26,1,Otras,0-1 días
