feature,importance
ZIP_code_11096.0,0.0
ZIP_code_11101.0,0.0
ZIP_code_11102.0,0.0
ZIP_code_11103.0,0.0
ZIP_code_11104.0,0.0
ZIP_code_11105.0,0.0
ZIP_code_11106.0,0.0
ZIP_code_1119.0,0.0
ZIP_code_11201.0,0.0
ZIP_code_11202.0,0.0
ZIP_code_11204.0,0.0
ZIP_code_11205.0,0.0
ZIP_code_11206.0,0.0
ZIP_code_11207.0,0.0
ZIP_code_11208.0,0.0
ZIP_code_11209.0,0.0
ZIP_code_11210.0,0.0
ZIP_code_11211.0,0.0
ZIP_code_11212.0,0.0
ZIP_code_11213.0,0.0
ZIP_code_11214.0,0.0
ZIP_code_11215.0,0.0
ZIP_code_11216.0,0.0
ZIP_code_11218.0,0.0
ZIP_code_11219.0,0.0
ZIP_code_11220.0,0.0
ZIP_code_11221.0,0.0
ZIP_code_11222.0,0.0
ZIP_code_11223.0,0.0
ZIP_code_11224.0,0.0
ZIP_code_11225.0,0.0
ZIP_code_11226.0,0.0
ZIP_code_11228.0,0.0
ZIP_code_11232.0,0.0
ZIP_code_11233.0,0.0
ZIP_code_11234.0,0.0
ZIP_code_11235.0,0.0
ZIP_code_11236.0,0.0
ZIP_code_11237.0,0.0
ZIP_code_11238.0,0.0
ZIP_code_11249.0,0.0
ZIP_code_1128.0,0.0
ZIP_code_11354.0,0.0
ZIP_code_11356.0,0.0
ZIP_code_11357.0,0.0
ZIP_code_11358.0,0.0
ZIP_code_11360.0,0.0
ZIP_code_11364.0,0.0
ZIP_code_11366.0,0.0
ZIP_code_11368.0,0.0
ZIP_code_11369.0,0.0
ZIP_code_11370.0,0.0
ZIP_code_11373.0,0.0
ZIP_code_11374.0,0.0
ZIP_code_11379.0,0.0
ZIP_code_11385.0,0.0
ZIP_code_11412.0,0.0
ZIP_code_11413.0,0.0
ZIP_code_11415.0,0.0
ZIP_code_11416.0,0.0
ZIP_code_11417.0,0.0
ZIP_code_11418.0,0.0
ZIP_code_11420.0,0.0
ZIP_code_11422.0,0.0
ZIP_code_11423.0,0.0
ZIP_code_11426.0,0.0
ZIP_code_11427.0,0.0
ZIP_code_11428.0,0.0
ZIP_code_11429.0,0.0
ZIP_code_11432.0,0.0
ZIP_code_11433.0,0.0
ZIP_code_11434.0,0.0
ZIP_code_11436.0,0.0
ZIP_code_1144.0,0.0
ZIP_code_11501.0,0.0
ZIP_code_11507.0,0.0
ZIP_code_11510.0,0.0
ZIP_code_11516.0,0.0
ZIP_code_11520.0,0.0
ZIP_code_11550.0,0.0
ZIP_code_11552.0,0.0
ZIP_code_11553.0,0.0
ZIP_code_11554.0,0.0
ZIP_code_11557.0,0.0
ZIP_code_11558.0,0.0
ZIP_code_11559.0,0.0
ZIP_code_11561.0,0.0
ZIP_code_11565.0,0.0
ZIP_code_11566.0,0.0
ZIP_code_11570.0,0.0
ZIP_code_11572.0,0.0
ZIP_code_11575.0,0.0
ZIP_code_11576.0,0.0
ZIP_code_11577.0,0.0
ZIP_code_11579.0,0.0
ZIP_code_11580.0,0.0
ZIP_code_11581.0,0.0
ZIP_code_11590.0,0.0
ZIP_code_11596.0,0.0
ZIP_code_11683.0,0.0
ZIP_code_11691.0,0.0
ZIP_code_11701.0,0.0
ZIP_code_11702.0,0.0
ZIP_code_11703.0,0.0
ZIP_code_11704.0,0.0
ZIP_code_11705.0,0.0
ZIP_code_11706.0,0.0
ZIP_code_11710.0,0.0
ZIP_code_11715.0,0.0
ZIP_code_11716.0,0.0
ZIP_code_11717.0,0.0
ZIP_code_11718.0,0.0
ZIP_code_11720.0,0.0
ZIP_code_11721.0,0.0
ZIP_code_11722.0,0.0
ZIP_code_11725.0,0.0
ZIP_code_11726.0,0.0
ZIP_code_11727.0,0.0
ZIP_code_11731.0,0.0
ZIP_code_11733.0,0.0
ZIP_code_11735.0,0.0
ZIP_code_11738.0,0.0
ZIP_code_11741.0,0.0
ZIP_code_11742.0,0.0
ZIP_code_11743.0,0.0
ZIP_code_11746.0,0.0
ZIP_code_11747.0,0.0
ZIP_code_11751.0,0.0
ZIP_code_11752.0,0.0
ZIP_code_11754.0,0.0
ZIP_code_11756.0,0.0
ZIP_code_11757.0,0.0
ZIP_code_11758.0,0.0
ZIP_code_11763.0,0.0
ZIP_code_11764.0,0.0
ZIP_code_11767.0,0.0
ZIP_code_11768.0,0.0
ZIP_code_11769.0,0.0
ZIP_code_11771.0,0.0
ZIP_code_11772.0,0.0
ZIP_code_11776.0,0.0
ZIP_code_11779.0,0.0
ZIP_code_11783.0,0.0
ZIP_code_11784.0,0.0
ZIP_code_11788.0,0.0
ZIP_code_11791.0,0.0
ZIP_code_11792.0,0.0
ZIP_code_11793.0,0.0
ZIP_code_11795.0,0.0
ZIP_code_11797.0,0.0
ZIP_code_11798.0,0.0
ZIP_code_11801.0,0.0
ZIP_code_11803.0,0.0
ZIP_code_11804.0,0.0
ZIP_code_11901.0,0.0
ZIP_code_11933.0,0.0
ZIP_code_11935.0,0.0
ZIP_code_11942.0,0.0
ZIP_code_11946.0,0.0
ZIP_code_11948.0,0.0
ZIP_code_11953.0,0.0
ZIP_code_11960.0,0.0
ZIP_code_11964.0,0.0
ZIP_code_11967.0,0.0
ZIP_code_11968.0,0.0
ZIP_code_11969.0,0.0
ZIP_code_11978.0,0.0
ZIP_code_11980.0,0.0
ZIP_code_12000.0,0.0
ZIP_code_1202.0,0.0
ZIP_code_12020.0,0.0
ZIP_code_12047.0,0.0
ZIP_code_12054.0,0.0
ZIP_code_12065.0,0.0
ZIP_code_12078.0,0.0
ZIP_code_12110.0,0.0
ZIP_code_12114.0,0.0
ZIP_code_1212.0,0.0
ZIP_code_12134.0,0.0
ZIP_code_12144.0,0.0
ZIP_code_12180.0,0.0
ZIP_code_12182.0,0.0
ZIP_code_12184.0,0.0
ZIP_code_12188.0,0.0
ZIP_code_12189.0,0.0
ZIP_code_1219.0,0.0
ZIP_code_12202.0,0.0
ZIP_code_12203.0,0.0
ZIP_code_12204.0,0.0
ZIP_code_12208.0,0.0
ZIP_code_12250.0,0.0
ZIP_code_1226.0,0.0
ZIP_code_12303.0,0.0
ZIP_code_12304.0,0.0
ZIP_code_12305.0,0.0
ZIP_code_12306.0,0.0
ZIP_code_12308.0,0.0
ZIP_code_12309.0,0.0
ZIP_code_12401.0,0.0
ZIP_code_12413.0,0.0
ZIP_code_12434.0,0.0
ZIP_code_12477.0,0.0
ZIP_code_12484.0,0.0
ZIP_code_12501.0,0.0
ZIP_code_12520.0,0.0
ZIP_code_12522.0,0.0
ZIP_code_12524.0,0.0
ZIP_code_12526.0,0.0
ZIP_code_12533.0,0.0
ZIP_code_12534.0,0.0
ZIP_code_12549.0,0.0
ZIP_code_12550.0,0.0
ZIP_code_12553.0,0.0
ZIP_code_12561.0,0.0
ZIP_code_12566.0,0.0
ZIP_code_12569.0,0.0
ZIP_code_12570.0,0.0
ZIP_code_12571.0,0.0
ZIP_code_12577.0,0.0
ZIP_code_12582.0,0.0
ZIP_code_12589.0,0.0
ZIP_code_12590.0,0.0
ZIP_code_12601.0,0.0
ZIP_code_12603.0,0.0
ZIP_code_12746.0,0.0
ZIP_code_12775.0,0.0
ZIP_code_12814.0,0.0
ZIP_code_12822.0,0.0
ZIP_code_12827.0,0.0
ZIP_code_12828.0,0.0
ZIP_code_12831.0,0.0
ZIP_code_12833.0,0.0
ZIP_code_12845.0,0.0
ZIP_code_12865.0,0.0
ZIP_code_12866.0,0.0
ZIP_code_12901.0,0.0
ZIP_code_12958.0,0.0
ZIP_code_12972.0,0.0
ZIP_code_12986.0,0.0
ZIP_code_12997.0,0.0
ZIP_code_13021.0,0.0
ZIP_code_13028.0,0.0
ZIP_code_13031.0,0.0
ZIP_code_13032.0,0.0
ZIP_code_13035.0,0.0
ZIP_code_13036.0,0.0
ZIP_code_13039.0,0.0
ZIP_code_13041.0,0.0
ZIP_code_13044.0,0.0
ZIP_code_13045.0,0.0
ZIP_code_13053.0,0.0
ZIP_code_13066.0,0.0
ZIP_code_13068.0,0.0
ZIP_code_13078.0,0.0
ZIP_code_13090.0,0.0
ZIP_code_13126.0,0.0
ZIP_code_13142.0,0.0
ZIP_code_13153.0,0.0
ZIP_code_13166.0,0.0
ZIP_code_13167.0,0.0
ZIP_code_13202.0,0.0
ZIP_code_13204.0,0.0
ZIP_code_13206.0,0.0
ZIP_code_13208.0,0.0
ZIP_code_13209.0,0.0
ZIP_code_13211.0,0.0
ZIP_code_13215.0,0.0
ZIP_code_1331.0,0.0
ZIP_code_13317.0,0.0
ZIP_code_13324.0,0.0
ZIP_code_13357.0,0.0
ZIP_code_13363.0,0.0
ZIP_code_13367.0,0.0
ZIP_code_13413.0,0.0
ZIP_code_13421.0,0.0
ZIP_code_13439.0,0.0
ZIP_code_13440.0,0.0
ZIP_code_13464.0,0.0
ZIP_code_13492.0,0.0
ZIP_code_1351.0,0.0
ZIP_code_13605.0,0.0
ZIP_code_13612.0,0.0
ZIP_code_13619.0,0.0
ZIP_code_13625.0,0.0
ZIP_code_1364.0,0.0
ZIP_code_13660.0,0.0
ZIP_code_13668.0,0.0
ZIP_code_13669.0,0.0
ZIP_code_1375.0,0.0
ZIP_code_13760.0,0.0
ZIP_code_13763.0,0.0
ZIP_code_13797.0,0.0
ZIP_code_13801.0,0.0
ZIP_code_13815.0,0.0
ZIP_code_13827.0,0.0
ZIP_code_13833.0,0.0
ZIP_code_13850.0,0.0
ZIP_code_13856.0,0.0
ZIP_code_13901.0,0.0
ZIP_code_13905.0,0.0
ZIP_code_14001.0,0.0
ZIP_code_14004.0,0.0
ZIP_code_14020.0,0.0
ZIP_code_14034.0,0.0
ZIP_code_14048.0,0.0
ZIP_code_14063.0,0.0
ZIP_code_14075.0,0.0
ZIP_code_14094.0,0.0
ZIP_code_14102.0,0.0
ZIP_code_14105.0,0.0
ZIP_code_14111.0,0.0
ZIP_code_14120.0,0.0
ZIP_code_14127.0,0.0
ZIP_code_14141.0,0.0
ZIP_code_14204.0,0.0
ZIP_code_14206.0,0.0
ZIP_code_14207.0,0.0
ZIP_code_14210.0,0.0
ZIP_code_14211.0,0.0
ZIP_code_14213.0,0.0
ZIP_code_14215.0,0.0
ZIP_code_14217.0,0.0
ZIP_code_14219.0,0.0
ZIP_code_14220.0,0.0
ZIP_code_14221.0,0.0
ZIP_code_14223.0,0.0
ZIP_code_14224.0,0.0
ZIP_code_14226.0,0.0
ZIP_code_14227.0,0.0
ZIP_code_14228.0,0.0
ZIP_code_14240.0,0.0
ZIP_code_14301.0,0.0
ZIP_code_14303.0,0.0
ZIP_code_14304.0,0.0
ZIP_code_14305.0,0.0
ZIP_code_14411.0,0.0
ZIP_code_14425.0,0.0
ZIP_code_14445.0,0.0
ZIP_code_14450.0,0.0
ZIP_code_14456.0,0.0
ZIP_code_14464.0,0.0
ZIP_code_14469.0,0.0
ZIP_code_14470.0,0.0
ZIP_code_14502.0,0.0
ZIP_code_14505.0,0.0
ZIP_code_1451.0,0.0
ZIP_code_14513.0,0.0
ZIP_code_14514.0,0.0
ZIP_code_14534.0,0.0
ZIP_code_14551.0,0.0
ZIP_code_14564.0,0.0
ZIP_code_14569.0,0.0
ZIP_code_14580.0,0.0
ZIP_code_14586.0,0.0
ZIP_code_146.0,0.0
ZIP_code_1460.0,0.0
ZIP_code_14606.0,0.0
ZIP_code_14607.0,0.0
ZIP_code_14609.0,0.0
ZIP_code_14612.0,0.0
ZIP_code_14614.0,0.0
ZIP_code_14618.0,0.0
ZIP_code_14619.0,0.0
ZIP_code_1462.0,0.0
ZIP_code_14623.0,0.0
ZIP_code_14624.0,0.0
ZIP_code_14626.0,0.0
ZIP_code_14701.0,0.0
ZIP_code_14719.0,0.0
ZIP_code_14721.0,0.0
ZIP_code_1473.0,0.0
ZIP_code_14760.0,0.0
ZIP_code_14787.0,0.0
ZIP_code_14822.0,0.0
ZIP_code_14830.0,0.0
ZIP_code_14847.0,0.0
ZIP_code_14850.0,0.0
ZIP_code_14861.0,0.0
ZIP_code_14886.0,0.0
ZIP_code_14892.0,0.0
ZIP_code_14904.0,0.0
ZIP_code_14905.0,0.0
ZIP_code_15001.0,0.0
ZIP_code_15005.0,0.0
ZIP_code_15010.0,0.0
ZIP_code_15012.0,0.0
ZIP_code_15017.0,0.0
ZIP_code_15021.0,0.0
ZIP_code_15025.0,0.0
ZIP_code_1503.0,0.0
ZIP_code_15030.0,0.0
ZIP_code_15032.0,0.0
ZIP_code_15033.0,0.0
ZIP_code_15035.0,0.0
ZIP_code_1504.0,0.0
ZIP_code_15044.0,0.0
ZIP_code_15045.0,0.0
ZIP_code_1505.0,0.0
ZIP_code_15052.0,0.0
ZIP_code_15068.0,0.0
ZIP_code_15071.0,0.0
ZIP_code_15074.0,0.0
ZIP_code_15084.0,0.0
ZIP_code_15089.0,0.0
ZIP_code_15101.0,0.0
ZIP_code_15102.0,0.0
ZIP_code_15104.0,0.0
ZIP_code_15106.0,0.0
ZIP_code_15108.0,0.0
ZIP_code_15116.0,0.0
ZIP_code_15120.0,0.0
ZIP_code_15122.0,0.0
ZIP_code_15129.0,0.0
ZIP_code_15132.0,0.0
ZIP_code_15136.0,0.0
ZIP_code_15137.0,0.0
ZIP_code_15145.0,0.0
ZIP_code_15146.0,0.0
ZIP_code_15147.0,0.0
ZIP_code_1516.0,0.0
ZIP_code_15201.0,0.0
ZIP_code_15202.0,0.0
ZIP_code_15203.0,0.0
ZIP_code_15204.0,0.0
ZIP_code_15206.0,0.0
ZIP_code_15210.0,0.0
ZIP_code_15211.0,0.0
ZIP_code_15212.0,0.0
ZIP_code_15213.0,0.0
ZIP_code_15214.0,0.0
ZIP_code_15215.0,0.0
ZIP_code_15216.0,0.0
ZIP_code_15217.0,0.0
ZIP_code_15219.0,0.0
ZIP_code_15220.0,0.0
ZIP_code_15221.0,0.0
ZIP_code_15222.0,0.0
ZIP_code_15227.0,0.0
ZIP_code_15228.0,0.0
ZIP_code_15232.0,0.0
ZIP_code_15234.0,0.0
ZIP_code_15236.0,0.0
ZIP_code_15237.0,0.0
ZIP_code_15243.0,0.0
ZIP_code_1527.0,0.0
ZIP_code_15301.0,0.0
ZIP_code_15312.0,0.0
ZIP_code_15317.0,0.0
ZIP_code_15330.0,0.0
ZIP_code_15349.0,0.0
ZIP_code_15358.0,0.0
ZIP_code_15367.0,0.0
ZIP_code_15401.0,0.0
ZIP_code_15468.0,0.0
ZIP_code_15522.0,0.0
ZIP_code_15531.0,0.0
ZIP_code_15601.0,0.0
ZIP_code_15627.0,0.0
ZIP_code_15642.0,0.0
ZIP_code_15644.0,0.0
ZIP_code_15656.0,0.0
ZIP_code_15666.0,0.0
ZIP_code_15668.0,0.0
ZIP_code_15701.0,0.0
ZIP_code_1571.0,0.0
ZIP_code_15714.0,0.0
ZIP_code_15731.0,0.0
ZIP_code_1581.0,0.0
ZIP_code_1583.0,0.0
ZIP_code_15846.0,0.0
ZIP_code_15902.0,0.0
ZIP_code_15906.0,0.0
ZIP_code_15927.0,0.0
ZIP_code_15931.0,0.0
ZIP_code_15944.0,0.0
ZIP_code_15963.0,0.0
ZIP_code_16002.0,0.0
ZIP_code_1602.0,0.0
ZIP_code_16025.0,0.0
ZIP_code_1603.0,0.0
ZIP_code_1604.0,0.0
ZIP_code_16046.0,0.0
ZIP_code_16055.0,0.0
ZIP_code_1606.0,0.0
ZIP_code_1611.0,0.0
ZIP_code_16117.0,0.0
ZIP_code_16120.0,0.0
ZIP_code_16127.0,0.0
ZIP_code_16146.0,0.0
ZIP_code_16218.0,0.0
ZIP_code_16346.0,0.0
ZIP_code_16354.0,0.0
ZIP_code_16412.0,0.0
ZIP_code_16415.0,0.0
ZIP_code_16417.0,0.0
ZIP_code_16424.0,0.0
ZIP_code_16428.0,0.0
ZIP_code_16502.0,0.0
ZIP_code_16508.0,0.0
ZIP_code_16509.0,0.0
ZIP_code_16648.0,0.0
ZIP_code_16686.0,0.0
ZIP_code_16801.0,0.0
ZIP_code_16803.0,0.0
ZIP_code_16823.0,0.0
ZIP_code_16830.0,0.0
ZIP_code_16833.0,0.0
ZIP_code_16923.0,0.0
ZIP_code_1696.0,0.0
ZIP_code_17009.0,0.0
ZIP_code_1701.0,0.0
ZIP_code_17011.0,0.0
ZIP_code_17013.0,0.0
ZIP_code_17015.0,0.0
ZIP_code_17028.0,0.0
ZIP_code_17029.0,0.0
ZIP_code_17036.0,0.0
ZIP_code_17043.0,0.0
ZIP_code_17046.0,0.0
ZIP_code_17050.0,0.0
ZIP_code_17053.0,0.0
ZIP_code_17055.0,0.0
ZIP_code_17057.0,0.0
ZIP_code_17061.0,0.0
ZIP_code_17067.0,0.0
ZIP_code_17070.0,0.0
ZIP_code_17076.0,0.0
ZIP_code_17078.0,0.0
ZIP_code_17084.0,0.0
ZIP_code_17101.0,0.0
ZIP_code_17104.0,0.0
ZIP_code_17109.0,0.0
ZIP_code_17110.0,0.0
ZIP_code_17111.0,0.0
ZIP_code_17112.0,0.0
ZIP_code_17113.0,0.0
ZIP_code_1720.0,0.0
ZIP_code_17201.0,0.0
ZIP_code_17202.0,0.0
ZIP_code_1721.0,0.0
ZIP_code_17225.0,0.0
ZIP_code_17228.0,0.0
ZIP_code_17241.0,0.0
ZIP_code_17268.0,0.0
ZIP_code_1730.0,0.0
ZIP_code_17302.0,0.0
ZIP_code_17313.0,0.0
ZIP_code_17315.0,0.0
ZIP_code_17319.0,0.0
ZIP_code_17325.0,0.0
ZIP_code_17331.0,0.0
ZIP_code_17356.0,0.0
ZIP_code_17368.0,0.0
ZIP_code_1740.0,0.0
ZIP_code_17402.0,0.0
ZIP_code_17403.0,0.0
ZIP_code_17404.0,0.0
ZIP_code_17408.0,0.0
ZIP_code_1742.0,0.0
ZIP_code_1749.0,0.0
ZIP_code_17517.0,0.0
ZIP_code_1752.0,0.0
ZIP_code_17520.0,0.0
ZIP_code_17522.0,0.0
ZIP_code_1754.0,0.0
ZIP_code_17543.0,0.0
ZIP_code_17555.0,0.0
ZIP_code_1757.0,0.0
ZIP_code_17582.0,0.0
ZIP_code_1760.0,0.0
ZIP_code_17601.0,0.0
ZIP_code_17602.0,0.0
ZIP_code_17603.0,0.0
ZIP_code_17608.0,0.0
ZIP_code_17701.0,0.0
ZIP_code_17702.0,0.0
ZIP_code_17719.0,0.0
ZIP_code_17737.0,0.0
ZIP_code_17740.0,0.0
ZIP_code_17745.0,0.0
ZIP_code_1775.0,0.0
ZIP_code_17764.0,0.0
ZIP_code_17801.0,0.0
ZIP_code_17814.0,0.0
ZIP_code_17830.0,0.0
ZIP_code_17844.0,0.0
ZIP_code_17847.0,0.0
ZIP_code_17870.0,0.0
ZIP_code_17901.0,0.0
ZIP_code_17921.0,0.0
ZIP_code_17931.0,0.0
ZIP_code_17967.0,0.0
ZIP_code_17976.0,0.0
ZIP_code_17981.0,0.0
ZIP_code_18017.0,0.0
ZIP_code_18018.0,0.0
ZIP_code_1803.0,0.0
ZIP_code_18041.0,0.0
ZIP_code_18042.0,0.0
ZIP_code_18045.0,0.0
ZIP_code_1805.0,0.0
ZIP_code_18062.0,0.0
ZIP_code_18064.0,0.0
ZIP_code_18071.0,0.0
ZIP_code_18080.0,0.0
ZIP_code_18088.0,0.0
ZIP_code_18091.0,0.0
ZIP_code_1810.0,0.0
ZIP_code_18102.0,0.0
ZIP_code_18103.0,0.0
ZIP_code_18104.0,0.0
ZIP_code_18106.0,0.0
ZIP_code_18201.0,0.0
ZIP_code_1821.0,0.0
ZIP_code_18222.0,0.0
ZIP_code_18229.0,0.0
ZIP_code_18232.0,0.0
ZIP_code_18235.0,0.0
ZIP_code_18237.0,0.0
ZIP_code_1824.0,0.0
ZIP_code_18240.0,0.0
ZIP_code_1830.0,0.0
ZIP_code_18301.0,0.0
ZIP_code_18302.0,0.0
ZIP_code_1832.0,0.0
ZIP_code_18324.0,0.0
ZIP_code_18334.0,0.0
ZIP_code_18337.0,0.0
ZIP_code_18344.0,0.0
ZIP_code_18347.0,0.0
ZIP_code_18360.0,0.0
ZIP_code_18411.0,0.0
ZIP_code_18419.0,0.0
ZIP_code_18428.0,0.0
ZIP_code_1843.0,0.0
ZIP_code_18436.0,0.0
ZIP_code_18438.0,0.0
ZIP_code_1844.0,0.0
ZIP_code_18445.0,0.0
ZIP_code_1845.0,0.0
ZIP_code_18452.0,0.0
ZIP_code_18466.0,0.0
ZIP_code_1850.0,0.0
ZIP_code_18504.0,0.0
ZIP_code_18505.0,0.0
ZIP_code_18509.0,0.0
ZIP_code_1851.0,0.0
ZIP_code_18510.0,0.0
ZIP_code_18518.0,0.0
ZIP_code_1853.0,0.0
ZIP_code_18603.0,0.0
ZIP_code_18607.0,0.0
ZIP_code_18612.0,0.0
ZIP_code_18614.0,0.0
ZIP_code_1862.0,0.0
ZIP_code_18621.0,0.0
ZIP_code_18623.0,0.0
ZIP_code_1864.0,0.0
ZIP_code_18640.0,0.0
ZIP_code_18642.0,0.0
ZIP_code_18643.0,0.0
ZIP_code_1867.0,0.0
ZIP_code_18702.0,0.0
ZIP_code_18704.0,0.0
ZIP_code_18706.0,0.0
ZIP_code_18707.0,0.0
ZIP_code_1876.0,0.0
ZIP_code_1879.0,0.0
ZIP_code_1880.0,0.0
ZIP_code_18812.0,0.0
ZIP_code_18840.0,0.0
ZIP_code_18847.0,0.0
ZIP_code_1886.0,0.0
ZIP_code_18901.0,0.0
ZIP_code_18914.0,0.0
ZIP_code_18915.0,0.0
ZIP_code_18925.0,0.0
ZIP_code_18938.0,0.0
ZIP_code_18940.0,0.0
ZIP_code_18942.0,0.0
ZIP_code_18944.0,0.0
ZIP_code_18951.0,0.0
ZIP_code_18960.0,0.0
ZIP_code_18963.0,0.0
ZIP_code_18964.0,0.0
ZIP_code_18966.0,0.0
ZIP_code_18974.0,0.0
ZIP_code_18976.0,0.0
ZIP_code_18977.0,0.0
ZIP_code_19002.0,0.0
ZIP_code_19004.0,0.0
ZIP_code_19006.0,0.0
ZIP_code_19007.0,0.0
ZIP_code_19008.0,0.0
ZIP_code_19010.0,0.0
ZIP_code_19014.0,0.0
ZIP_code_1902.0,0.0
ZIP_code_19021.0,0.0
ZIP_code_19023.0,0.0
ZIP_code_19026.0,0.0
ZIP_code_19027.0,0.0
ZIP_code_19033.0,0.0
ZIP_code_19035.0,0.0
ZIP_code_19036.0,0.0
ZIP_code_19038.0,0.0
ZIP_code_1904.0,0.0
ZIP_code_19040.0,0.0
ZIP_code_19044.0,0.0
ZIP_code_19046.0,0.0
ZIP_code_19047.0,0.0
ZIP_code_19050.0,0.0
ZIP_code_19053.0,0.0
ZIP_code_19055.0,0.0
ZIP_code_19056.0,0.0
ZIP_code_19057.0,0.0
ZIP_code_1906.0,0.0
ZIP_code_19061.0,0.0
ZIP_code_19063.0,0.0
ZIP_code_19064.0,0.0
ZIP_code_19070.0,0.0
ZIP_code_19072.0,0.0
ZIP_code_19075.0,0.0
ZIP_code_19079.0,0.0
ZIP_code_19082.0,0.0
ZIP_code_19087.0,0.0
ZIP_code_19090.0,0.0
ZIP_code_19095.0,0.0
ZIP_code_19096.0,0.0
ZIP_code_19102.0,0.0
ZIP_code_19103.0,0.0
ZIP_code_19104.0,0.0
ZIP_code_19109.0,0.0
ZIP_code_19111.0,0.0
ZIP_code_19114.0,0.0
ZIP_code_19115.0,0.0
ZIP_code_19116.0,0.0
ZIP_code_19118.0,0.0
ZIP_code_19120.0,0.0
ZIP_code_99611.0,0.0
ZIP_code_19123.0,0.0
ZIP_code_19124.0,0.0
ZIP_code_19125.0,0.0
ZIP_code_19127.0,0.0
ZIP_code_19128.0,0.0
ZIP_code_19129.0,0.0
ZIP_code_1913.0,0.0
ZIP_code_19130.0,0.0
ZIP_code_19131.0,0.0
ZIP_code_19132.0,0.0
ZIP_code_19133.0,0.0
ZIP_code_19134.0,0.0
ZIP_code_19135.0,0.0
ZIP_code_19136.0,0.0
ZIP_code_19138.0,0.0
ZIP_code_19139.0,0.0
ZIP_code_19140.0,0.0
ZIP_code_19141.0,0.0
ZIP_code_19142.0,0.0
ZIP_code_19144.0,0.0
ZIP_code_19145.0,0.0
ZIP_code_19146.0,0.0
ZIP_code_19147.0,0.0
ZIP_code_19148.0,0.0
ZIP_code_19149.0,0.0
ZIP_code_1915.0,0.0
ZIP_code_19150.0,0.0
ZIP_code_19151.0,0.0
ZIP_code_19152.0,0.0
ZIP_code_19154.0,0.0
ZIP_code_1921.0,0.0
ZIP_code_1923.0,0.0
ZIP_code_19301.0,0.0
ZIP_code_19311.0,0.0
ZIP_code_19317.0,0.0
ZIP_code_19320.0,0.0
ZIP_code_19335.0,0.0
ZIP_code_19341.0,0.0
ZIP_code_19342.0,0.0
ZIP_code_19353.0,0.0
ZIP_code_19355.0,0.0
ZIP_code_19365.0,0.0
ZIP_code_19380.0,0.0
ZIP_code_19382.0,0.0
ZIP_code_19403.0,0.0
ZIP_code_19404.0,0.0
ZIP_code_19405.0,0.0
ZIP_code_19406.0,0.0
ZIP_code_19422.0,0.0
ZIP_code_19425.0,0.0
ZIP_code_19426.0,0.0
ZIP_code_19428.0,0.0
ZIP_code_19440.0,0.0
ZIP_code_19446.0,0.0
ZIP_code_1945.0,0.0
ZIP_code_19453.0,0.0
ZIP_code_19454.0,0.0
ZIP_code_19460.0,0.0
ZIP_code_19464.0,0.0
ZIP_code_19465.0,0.0
ZIP_code_19468.0,0.0
ZIP_code_1950.0,0.0
ZIP_code_1951.0,0.0
ZIP_code_19512.0,0.0
ZIP_code_19518.0,0.0
ZIP_code_19522.0,0.0
ZIP_code_19525.0,0.0
ZIP_code_19526.0,0.0
ZIP_code_19530.0,0.0
ZIP_code_19543.0,0.0
ZIP_code_19555.0,0.0
ZIP_code_19560.0,0.0
ZIP_code_1960.0,0.0
ZIP_code_19601.0,0.0
ZIP_code_19602.0,0.0
ZIP_code_19605.0,0.0
ZIP_code_19606.0,0.0
ZIP_code_19607.0,0.0
ZIP_code_19608.0,0.0
ZIP_code_19609.0,0.0
ZIP_code_19611.0,0.0
ZIP_code_1966.0,0.0
ZIP_code_1970.0,0.0
ZIP_code_19701.0,0.0
ZIP_code_19703.0,0.0
ZIP_code_19706.0,0.0
ZIP_code_19707.0,0.0
ZIP_code_19709.0,0.0
ZIP_code_19711.0,0.0
ZIP_code_19713.0,0.0
ZIP_code_19714.0,0.0
ZIP_code_19720.0,0.0
ZIP_code_19801.0,0.0
ZIP_code_19802.0,0.0
ZIP_code_19803.0,0.0
ZIP_code_19804.0,0.0
ZIP_code_19805.0,0.0
ZIP_code_19807.0,0.0
ZIP_code_19808.0,0.0
ZIP_code_19809.0,0.0
ZIP_code_19810.0,0.0
ZIP_code_1983.0,0.0
ZIP_code_1984.0,0.0
ZIP_code_19899.0,0.0
ZIP_code_19901.0,0.0
ZIP_code_19904.0,0.0
ZIP_code_19933.0,0.0
ZIP_code_19940.0,0.0
ZIP_code_19941.0,0.0
ZIP_code_19943.0,0.0
ZIP_code_19956.0,0.0
ZIP_code_19958.0,0.0
ZIP_code_19963.0,0.0
ZIP_code_19964.0,0.0
ZIP_code_19966.0,0.0
ZIP_code_19970.0,0.0
ZIP_code_19971.0,0.0
ZIP_code_19973.0,0.0
ZIP_code_19977.0,0.0
ZIP_code_20.0,0.0
ZIP_code_20002.0,0.0
ZIP_code_20003.0,0.0
ZIP_code_20004.0,0.0
ZIP_code_20005.0,0.0
ZIP_code_20006.0,0.0
ZIP_code_20007.0,0.0
ZIP_code_20008.0,0.0
ZIP_code_20010.0,0.0
ZIP_code_20011.0,0.0
ZIP_code_20012.0,0.0
ZIP_code_20013.0,0.0
ZIP_code_20015.0,0.0
ZIP_code_20016.0,0.0
ZIP_code_20017.0,0.0
ZIP_code_20019.0,0.0
